,Sender.Location,Sender.LatLong.String,Receiver.Location,Receiver.LatLong.String,Date,Category
97,"USA, Cincinnati (OH)",39.103118 -84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1859-06-05,C
98,"USA, Cincinnati (OH)",39.103118 -84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1866-11-21,C
99,"USA, Cincinnati (OH)",39.103118 -84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1850-01-25,C
100,"USA, Cincinnati (OH)",39.103118 -84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1851-01-26,C
101,"USA, Cincinnati (OH)",39.103118 -84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1853-07-07,C
102,"USA, Newport (KY)",39.091449 -84.495776,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1854-06-14,C
103,"USA, Oskaloosa (IA)",41.291673 -92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1855-03-04,C
104,"USA, Oskaloosa (IA)",41.291673 -92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1855-04-03,C
105,"USA, Oskaloosa (IA)",41.291673 -92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1856-04-13,C
106,"USA, Oskaloosa (IA)",41.291673 -92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1856-11-22,C
107,"USA, Oskaloosa (IA)",41.291673 -92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1857-02-01,C
108,"USA, Oskaloosa (IA)",41.291673 -92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1857-10-29,C
109,"USA, Oskaloosa (IA)",41.291673 -92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1858-12-20,C
110,"USA, Oskaloosa (IA)",41.291673 -92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1859-04-15,C
111,"USA, Oskaloosa (IA)",41.291673 -92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1861-01-07,C
112,"USA, Oskaloosa (IA)",41.291673 -92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1866-03-15,C
113,"USA, Oskaloosa (IA)",41.291673 -92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1866-10-05,C
114,"USA, Oskaloosa (IA)",41.291673 -92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1867-02-22,C
115,"USA, Oskaloosa (IA)",41.291673 -92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1867-12-08,C
116,"USA, Newport (KY)",39.091449 -84.495776,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1854-06-13,C
